ID	Document	label
124	°³³â	1
125	°³ °°	1
126	¾¾ÀÌ¹ß	1
127	¾¾ÆÈ	1
128	¾Ã	0
129	¾¾ºüºü	1
130	»ç»õ³¢	1
131	¾¾¹Ù¾Ë	1
132	¾ÃÃ¢	1
133	¾ÃÆÈ	1
134	¾ÃÇÒ	1
135	¾Æ´Ú	1
136	¾ÚÃ¢	1
137	ºã½Å	1
138	•¦½Å	1
139	ºù½Å	1
140	¿¥»ý	1
141	¿¥Ã¢	1
142	¿¼º´	0
143	¤¸¤¤	0
144	¤¸.¤¤	1
145	¤¸¤©	0
146	Àý¶ó	1
147	Á¯³ª	1
148	Á¯†E	1
149	Á°¶ó	1
150	Á³°°Àº	1
151	Á¶³½	1
152	Á¶³é	1
153	Á¶¿Â³ª	1
154	Á·±î	1
155	Á¸ ³ª	1
156	Á¸.³ª	1
157	Á¸0	1
158	Á¸0³ª	1
159	Á¸±Í	1
160	Á¸‚â	1
161	Á¸¤¤³ª	1
162	Áë³»	1
163	Á¸³ª	1
164	Á¸¹ö	1
165	Á¸³»	1
166	Á¸¶È	1
167	Á¸¸À	1
168	Á¸¸Ú	1
169	Á¸½È	1
170	Á¸½ê	1
171	Á¸›ã	1
172	Á¸¿¹	1
173	Á¸¿ô	1
174	Á¸Àß	1
175	Á¸Àë	1
176	Á¸ÁÁ	1
177	Á¸Æ®	1
178	Á¹±Í	1
179	Á¹‚â	1
180	Á¹¸À	1
181	Á¹¸Ú	1
182	Á¹½È	1
183	Á¹¿¹	1
184	Á¹¿ô	1
185	Á¹Àë	1
186	Á¹ÁÁ	1
187	Á¼¹ä	1
188	Á½	1
189	Á¾³ª	1
190	jot°°	1
191	 “°°	1
192	½Î¹°¾î	1
193	¾¾¹ö·³	1
194	°³¾²·¡±â	0
195	Á¿±î	0
196	ÁÀ	1
197	ÁÒ³½	1
198	ÁÒ¿Â³ª	1
199	ÁÔ³ª	1
200	ÁÔ³»	1
201	ÁÕ³ª	1
202	Á×¾î¹ö·Á	0
203	Áá°°Àº	1
204	Áã¶ö	1
205	¾Ã½Ø	1
206	Áë³ª	1
207	Áë´Ï	1
208	ÁëÆ®	1
209	£p¶ö	1
210	Áö ¶ö	0
211	Áö0¶ö	1
212	Áö¶ö	0
213	Áö·Ñ	1
214	Â¯±ú	0
215	Â¯²²	1
216	ÂÉ³é	1
217	ÂÊ0¹Ù¸®	1
218	ÂÊ¹Ù¸®	0
219	ÂË ¸À	1
220	ÂË±Í	1
221	ÂË¸À	1
222	§gÀß	1
223	©nÁú	1
224	Âî0Áú	1
225	Ã¢³â	0
226	Ã¢³ð	0
227	È£·Î	0
228	È­³¶³â	0
229	ÈÄ.·Á	1
230	ÈÄ0·Á	1
231	ÈÄ0»¡	1
232	ÈÄ»¡	0
233	»ö½´	1
234	ÀðÀ§	1
235	»Çzy	1
236	»Çzi	1
237	»Çz	1
238	»Çjy	1
239	»Çji	1
240	»Çg	1
241	º¸zy	1
242	º¸zi	1
243	º¸z	1
244	º¸jy	1
245	º¸ji	1
246	º¸g	1
247	g·Ñ	1
248	g·²	1
249	g¶ö	1
250	cºÒ	1
251	ÀÚg	1
252	ÀÚji	1
253	ÀáG	1
254	Àáji	1
255	zaÁö	1
256	jaÁö	1
257	ÈÄÁÇ	1
258	ÈÄ»¡	1
259	ÇÎº¸	1
260	ÇÎµÎ	1
261	Æù›®	1
262	Æù¼½	0
263	ÆÜÅ¥	0
264	ÄÝ°É	0
265	Ã¢³à	0
266	ÂîÂî	0
267	Âî¶ö	1
268	¦i±î	1
269	ÂÎ¹ä	1
270	ÂÊ¹Ù¸®	0
271	Â¬»õ	0
272	Áö¹Ì·ê	1
273	Áö¹Ì·²	1
274	Áö¼	1
275	Áö·ê	1
276	ÁöŽú	1
277	Áö·Ñ	1
278	Áö·²	1
279	ÁöŽU	1
280	Áö¶ö	0
281	£p¶ö	1
282	Áã·ê	1
283	ÁãŽú	1
284	Áã·Ñ	1
285	Áã·²	1
286	Áã¶ö	1
287	¡“	1
288	¡‘	1
289	¡	1
290	¡Ž	1
291	ÁÒ»¤	1
292	ÁÒ¹ä	1
293	 ê	1
294	ÁÀ	1
295	Á¿	0
296	Á¾°£³ª	0
297	Á½	1
298	Á¼»¤	0
299	Á¼¹ä	0
300	Á¼¹°	1
301	Á»¸¸ÇÑ	1
302	Á»¸¸¾Æ	1
303	 à	1
304	Á¸´Ï	1
305	Á¸³ª	0
306	Á·¹Ù¸®	1
307	Á·°°³»	1
308	Á¶¿À¶Ç	1
309	Á¶¼¾Â¡	0
310	Á¶»¤	1
311	 ¼ÅÞ	1
312	 ¼ÅÊ	1
313	 ¼¹ä	1
314	 ¼¹°	1
315	 »ÅÞ	1
316	 »ÅÊ	1
317	 »¹ä	1
318	 »¹°	1
319	 »±î	1
320	 ºÅÞ	1
321	 ºÅÊ	1
322	 º¹ä	1
323	 º¹°	1
324	 º±î	1
325	Á¯³ª	1
326	Á®»¤	1
327	Á®±î	1
328	 “ÅÞ	1
329	 “ÅÊ	1
330	 “¹°	1
331	 “±î	1
332	Á¥Åë	0
333	Á¥ÅÞ	1
334	Á¥ÅÊ	1
335	Á¥¹ä	1
336	Á¥¹°	1
337	Á¥µµ	1
338	Á¥´õ	1
339	Á¥±î	1
340	Á£ÅÞ	1
341	Á£ÅÊ	1
342	Á£»¤	1
343	Á£¹ä	1
344	Á£³¿»õ	1
345	Àâ»õ³¢	0
346	Àâ´¤	1
347	Àâ³â	1
348	Àá£p	1
349	ÀáÁã	1
350	ÀÚ£p	1
351	ÀÚÁã	1
352	À°¾¾·²	1
353	À°½Ã·²	1
354	À°½Ã¶ö	0
355	¿ì¶óÁú	0
356	¿°”·	1
357	¿°¹ð	1
358	¿¥º´	1
359	¾öÃ¢	1
360	žOº´	1
361	¾Úº´	1
362	¾ÃÅÐ	1
363	¾ÃÃ¢	0
364	¾ÃÁú	0
365	¾Ã£x	1
366	¾ÃÁæ	1
367	¾ÃÀÚ½Ä	0
368	¾ÃÀÚ½»	1
369	¾ÃÀÚ¼®	1
370	¾Ã¿Ã	1
371	¾Ã½Ö	1
372	¾Ã»õ	0
373	¾Ã¹°	0
374	¾Ã³â	0
375	¾Ã³à	0
376	¾Ã±¸¸Û	0
377	±Ã¢	1
378	¾º¹ú	1
379	¾º¹ß	1
380	œj³â	1
381	›®¾²	1
382	›®½º	1
383	½ê¾×¾²	1
384	½ê¾×½º	1
385	½Ù¾²	1
386	½Ù¾¥	1
387	½Ù½º	1
388	½Ù¼ö	1
389	½Ö´¤	1
390	½Ö³â	0
391	½Ö³Æ	1
392	½ÔÃÄ	1
393	½ÊÅÊ	1
394	½ÊÃ¢	1
395	½§½º	1
396	™K½º	1
397	™G½º	1
398	¼½ÇÒ	1
399	¼½¾²	1
400	¼½o	1
401	¼½¾¥	1
402	¼½½´	1
403	¼½¼ö	1
404	¼¥³â	1
405	»ö³à	0
406	»ö²Ã	0
407	»õ¾×½º	1
408	»ó´¤	1
409	»ó³â	0
410	»ó³Æ	1
411	»ç±î½¬	1
412	»×¾ó	1
413	»×¾Ë	1
414	»Ô¾ó	1
415	»Ô¾Ë	1
416	»Í¾Ë	1
417	»ÈÅ¥	1
418	»ÇÅ¥	1
419	»Ç£p	1
420	»ÇÁã	1
421	»¶Å¥	0
422	»¶À¯	0
423	»µÅ·	0
424	»µÅ¥	0
425	ºýÅ¥	1
426	ºý¿ï	1
427	ºý¿ì¸®	1
428	ºý¿ìl	1
429	ºý¿ì·ò	1
430	ºüÅ¥	1
431	ºü²Ù¸®	1
432	ºü²Ùl	1
433	ºü²Ù·ò	1
434	ºü±¼	1
435	ºü±¸¸®	0
436	ºü±¸l	1
437	ºü±¸·ò	1
438	ºùšÇ	1
439	ºù½®	1
440	ºù¶í	1
441	•Š¾Ë	1
442	•Š½Å	1
443	ºê·²	1
444	ºé½Å	1
445	ºéšÇ	1
446	ºé½®	1
447	ºä¿õ½Å	1
448	”ß½Å	1
449	ºØ¾Ë	1
450	ºØ½Å	1
451	ºÎŽú	1
452	ºÎ·²	1
453	ºÎ¶ö	0
454	”·½Å	1
455	”·šÇ	1
456	”·½®	1
457	ºÌÁö	1
458	ºÌ¿Ë½Å	1
459	ºÀ¾Ë	1
460	º¸ÅÐ	0
461	º¸£p	1
462	º¸Áã	1
463	º¸½½¾ÆÄ¡	1
464	º´½Å	0
465	º´½Ã³ª	1
466	º´šÇ	1
467	º´½®	1
468	º¯Å×	1
469	º¯¼½	0
470	º¯³à	0
471	º¯³²	0
472	º¬½Å	1
473	º¡¾Ë	1
474	º¡¼½	1
475	º¡»ö	1
476	¹þÄ·	0
477	¹úÃ¢	1
478	¹ø›®	1
479	¹ø½Ù	1
480	¹ø¼½	1
481	¹÷Å¥	1
482	¹öÁþ¹°	1
483	¹öÁö¹ú··¹ú··	1
484	¹öÁö³¿»õ	1
485	¹öÁö±¸¸Û	1
486	¹öÁö±¸´¨	1
487	¹öÁö±¸³ç	1
488	¹ö£‰¹°	1
489	¹ö£p	1
490	¹öÁé¹°	1
491	¹öÁã	1
492	¹Ø±¸³ç	0
493	¸öÄ·	0
494	¸ÞÄ£³â	1
495	¸ÁÇÒ´¤	1
496	¸ÁÇÒ³â	1
497	¸ÁÇÒ³Æ	1
498	¶ð¶§	1
499	¶±Ä¥³à	1
500	¶±Ä¡±â	1
501	¶±°É	1
502	µþµþÀÌ	0
503	µþµþ¸®	1
504	µþµû¸®	1
505	µþµû·ò	1
506	µû¾ËµþÀÌ	1
507	µû¾Ëµû¾ËÀÌ	1
508	µî½®	1
509	µ¹Àº³â	1
510	µ·³â	1
511	´ëµþ	0
512	´×±â¹Ì	1
513	´×±â¸®	1
514	»ö½´	1
515	ÀðÀ§	1
516	»Çzy	1
517	»Çzi	1
518	»Çz	1
519	³»²¨»¡¾Æ	1
520	³ª»Û³â	0
521	²Ã¸®´Ù	1
522	²Ã·Á	1
523	²¿Ãò	1
524	²¿Ãß	1
525	±îº¸Àü	0
526	°íÃò	1
527	°è³â	1
528	°Ô´¤	1
529	°Ô°¡Æ°	1
530	°³ÀÚ½­	1
531	°³¾Ã	1
532	°³¾²·¹±â	0
533	°³¾²·¡±â	1
534	°³½à	1
535	°³½Ö	1
536	°³´¤	1
537	Àü·¡	1
538	jonna	1
539	miÃÆ	1
540	»õ³¢	0
541	½ÃºÎ·²	1
542	½Ãºä·²	1
543	¾¾ºÎ·²	1
544	¾¾ºä·²	1
545	½ÃºÎ·Ä	1
546	½Ãºä·Ä	1
547	¾¾ºÎ·Ä	1
548	¾¾ºä·Ä	1
549	´×±â¸®	1
550	½º¹ú	1
551	È£·ÎÀâ	1
552	°³³â	0
553	°³³äºü°¡	1
554	°³µ¶	1
555	°³·Ã	1
556	°³¸Á	1
557	°³¹«½Ã	1
558	°³¹«½Ã	1
559	°³¹«½Ä	1
560	°³¹ÎÆó	1
561	°³º°·Î	1
562	°³ºÎ¶ö	1
563	°³ºý	1
564	°³»õ±â	1
565	°³»õ³¢	0
566	°³ »õ³¢	1
567	¡	1
568	°³¼½	1
569	°³¼À	1
570	°³¼Ò¸®	1
571	°è»õ³¢	1
572	°³Àú¾¾	0
573	±èÄ¡³à	0
574	¸¾Ãæ	0
575	tlqkf	1
576	wlfkf	1
577	Á¸³«	1
578	´«»õ	1
579	Á¥ °°	1
580	 ¼ °°	1
581	½´¹ú	1
582	½´¿ì¹ú	1
583	»¨Àº	1
584	°ñ ºó	1
585	°ñ0ºó	1
586	°ñºó	1
587	°ü.Á¾	1
588	°ü0Á¾	1
589	°üÁ¾	0
590	±¥»õ³¢	1
591	±¸0¾Ã	1
592	±¸¾Ã	1
593	±×0ÄÔ	1
594	±×ÄÔ	1
595	±Ø0Çø	1
596	±ØÇø	0
597	±â·¹±â	0
598	±âÀÚ·¹±â	0
599	ƒî¿©	1
600	²Ã°©	1
601	²Ã°ª	0
602	²Ã±õ	1
603	³²0¿¬°¶	1
604	³Í¾¾´«	0
605	³â	0
606	³ð	0
607	»¨Àº·Ã¾Æ	1
608	›ä¾²	1
609	Áú»ç	1
610	º¸Â¡¾î	0
611	¿¥»ý	0
612	¾Ú»ý	0
613	º¸Ãò	1
614	Â«Âè	1
615	„ŒÃò	1
616	„ŒÈÞ	1
617	˜º½º	1
618	”IÀÌ	1
619	¼Â¤µ½º	1
620	›å¾²	1
621	™U½º	1
622	™ˆ½º	1
623	™F½º	1
624	ëÃò	1
625	íÃò	1
626	ëÃß	1
627	›½º	1
628	›°¾²	1
629	™r½º	1
630	»öo	1
631	³Ê±Ý¸¶	1
632	¾×¹ÞÀÌ	0
633	Ã¢·Ã	1
634	°ðÃò	1
635	²¿ÅÐ	1
636	º¸´ó	1
637	´Ù¹æ³â	1
638	ºýÃÌ	0
639	²¿ÅöÆ¢	0
640	°÷ÈÞ	1
641	°ùÈÞ	1
642	º´¤·½Å	1
643	Àå¾Ö·Ã	1
644	º´a½Å	1
645	S¤¼X	1
646	º°Ã¢	1
647	£pŽú	1
648	È­³É	0
649	³â	0
650	Æù½§	1
651	Æù¼¼¿¢	1
652	Æù¶½	1
653	Æ÷¿Â¼½	1
654	Æ÷·Î³ë	0
655	Æ÷·Î³Ê	1
656	ÆÝ¼½	1
657	ÆÝ»ö	1
658	ÆÛ·Î³ë	1
659	Ä«›®	1
660	Ä«½Ù	1
661	Ä«»ö	1
662	Ã²´¤	1
663	Ã²³â	1
664	Ã²³à	1
665	ÂÎ»¤	1
666	ÂË¹°	1
667	ÂË³ª	1
668	ÂÉºü	1
669	Â«Áö	1
670	Â¥£p	1
671	Â¥Áã	1
672	ÁöÁ¿	1
673	Áö·ã	1
674	Áö·¤	1
675	Áö¶þ	1
676	£p·Ñ	1
677	£pŽU	1
678	Áî·²	1
679	Áî¶ö	1
680	ÁãÁ¿	1
681	ÁãŽU	1
682	¡‚	1
683	ÁÔ¸¸	1
684	ÁÔ´Ï	1
685	ÁÔ³ª	1
686	ÁÓÃÄ	1
687	ÁÒÄâ	1
688	ÁÒÄ«	1
689	ÁÒ±î	1
690	Á¾³ª	1
691	 è	1
692	Á¼ºü	1
693	Á¼¸¸	1
694	Á¼¸¶	1
695	Á¸¹°	1
696	Á¸¸¸	1
697	Á¸¸¶	1
698	 Ý	1
699	Á·µþ	1
700	Á·°£³×	1
701	Á¶Áú·¡	1
702	Á¶¿Á°°³×	1
703	Á¶¿À±î	1
704	Á¶±ù	1
705	 ¾±î	1
706	 ¾	1
707	 ¼²À	1
708	 ¼°°	1
709	 »Áö	1
710	 »ÀÌ	1
711	 »¸¸	1
712	 »µµ	1
713	 »²À	1
714	 »°°	1
715	 »°¡	1
716	 »	1
717	 º¸¸	1
718	 ºµµ	1
719	 º°°	1
720	 º°¡	1
721	 ±	1
722	Á®¶Ç	1
723	Á®¶°	1
724	 •	1
725	 “²À	1
726	 “°°	1
727	Á¥¸¸	1
728	Á¥²©	1
729	Á¥°¡	1
730	Á£ºü	1
731	Á£¸¸	1
732	Á£¶°	1
733	Á£²À	1
734	Á£±î	1
735	Á£°°	1
736	Á¢¹ä	1
737	 Š	1
738	Àú»¤	1
739	Àú±ñ	1
740	ÀæÅÐ	1
741	Àâ³Æ	1
742	ÀáÁþ	1
743	ÀÚ¾ÆÁö	1
744	À¯µà	1
745	¿è”·	1
746	¿æº´	1
747	¿¼º´	0
748	¿¼¹ð	1
749	¿³±î	1
750	¿³°¡Æ°	1
751	¿¥Ã¢	0
752	¿¡¹ÌÃ¢	1
753	¿¡’Þ	1
754	¾ßµ¢	1
755	¾ß³à	1
756	¾ÚÃ¢	1
757	¾Ö’Þ	1
758	¾ÏÄ³	0
759	¾Æ°ý	1
760	Î³â	1
761	Î	1
762	¾ÃÃ³	1
763	¾ÃÂî	1
764	¾ÃÀïÀÌ	1
765	¾Ã¿¡	1
766	¾Ãºý	1
767	¾Ãµü	1
768	¾Ã´Ú	1
769	¾Ã±î	1
770	¾Ã°³	1
771	¾¾ÀÔ³â	1
772	¾¾¹ö·²	1
773	º	1
774	±	1
775	¾¹»õ	1
776	¾²ÀÌ¹Ù	1
777	¾²¹æ	1
778	¾²·º³â	1
779	m	1
780	dÃ¢	1
781	dÁú	1
782	d	1
783	œò¾²	1
784	œò½º	1
785	œò¼ö	1
786	œq¾²	1
787	œq¾¥	1
788	œq½º	1
789	œq¼ö	1
790	›ä½º	1
791	½ê¿¢½º	1
792	½ê¿¢	1
793	½à	0
794	›X¾Ó	1
795	½ÖÆÇ	1
796	½Ö¿¬	1
797	½Ö´Æ	1
798	½Ö´®	1
799	½Ö³ë¹«	1
800	¤¶¤Ó¹ß	1
801	½ÍÁú	1
802	½Í»õ	1
803	½ÊÁú	1
804	½ÊÀÚ½»	1
805	½ÊÀÚ¼®	1
806	½Ê»ö	1
807	½Êº¼	1
808	½Ê¹°	1
809	½Ê³ð	1
810	½ÄÆÅ	1
811	½Ã¾Ó³â	1
812	šÔÁú	1
813	šÔ¼¼	1
814	šÔ³â	1
815	½¬º¼	1
816	½¬²¥	1
817	½§¾²	1
818	½§¾¥	1
819	½§¼ö	1
820	½¦Å°	1
821	™¸¾²	1
822	™¸¾¥	1
823	™¸½º	1
824	™¸¼ö	1
825	¼½¶ß	1
826	¼½S	1
827	¼¼¿¢½º	1
828	¼¼¿¢¼ö¿ì	1
829	¼¼¿¡¿¢½º	1
830	¼¼¿¡¾²	1
831	¼¼¾×½º	1
832	¼§´Æ	1
833	¼§´¤	1
834	¼§³ð	1
835	¼§³Ñ	1
836	»þ¾Ó³â	1
837	»ý·ò	1
838	»ö¾¥	1
839	»ö½¬	1
840	»ö¼î	1
841	»ö¶ß	1
842	»ö³â	1
843	»ö°¼	1
844	»ös	1
845	»Ù½Å	1
846	»Ð½Å	1
847	»ÇÂè	1
848	»ÇÁþ	1
849	»Ç£‰	1
850	»Æ½Å	1
851	–nÅ¥	1
852	»¶²ó	1
853	»¶±¸	1
854	»µ¾îÅ¥	1
855	»µ¸£³ë	1
856	»µ¸£³Ê	1
857	»²Å¥	1
858	»¡Åë	1
859	ºü°É	1
860	ºù½Å	1
861	ºùšÃ	1
862	ºù½¬	1
863	ºù´Ú	1
864	ºñÀ×½Å	1
865	ºñ¿õ½Å	1
866	•¦½Å	1
867	•¦½Ã	1
868	•¦šÇ	1
869	ºí¾Ë	1
870	ºé¾Æ	1
871	ºé½Ã	1
872	ºé¶í	1
873	ºéµü	1
874	ºã½Å	1
875	ºã½®	1
876	”ú½Å	1
877	ºÛÁö	1
878	ºØ½Ã³ª	1
879	ºØšÇ	1
880	ºØµü	1
881	”·µü	1
882	ºÌ£p	1
883	º¸Â¢	1
884	º¸Áé	1
885	º¸¿ÀÁö	1
886	º´¾À	1
887	º´½Ì	1
888	º´šÃ	1
889	º´¶í	1
890	º´µü	1
891	º´´Ú	1
892	º­¾û½Å	1
893	¹÷±Ô	1
894	“‡½Å	1
895	¹ð½Ã	1
896	¹ðšÇ	1
897	¹ð½®	1
898	¹ÚÅ¥	1
899	¹Ù±¸¸®	1
900	¹ÌÆ¾	1
901	¹ÌÆ¸	1
902	¹ÌÃì	1
903	¹ÌÁø´¤	1
904	¹Ì½ÃÃÌ	1
905	¸öÄÍ	1
906	¸ÁÇÒ³ð	0
907	¸®¾ó¼½	1
908	¶ìºÎ·²	1
909	¶ì¶ö	1
910	µð·²	1
911	µð¶ö	1
912	µï¶ö	1
913	µî¾À	1
914	µåÀÀ½Å	1
915	µ¹¸²»§	0
916	µµ¶õ³â	1
917	µ¢½®	1
918	´ë°¡·ò	1
919	´Ú´ë°¡¸®	1
920	´ÔÀÌ¶ö	1
921	´ÏÀÌ¹Ì	1
922	´Ï¿¡ºñ	1
923	´Ï¿¡¹Ì	1
924	´Ï¾î¹Ì	1
925	´Ï’Þ	1
926	´Ï¹¿	1
927	´Ï±Í¹Ì	1
928	´ÏmÃ¢	1
929	´Ì±â¹Ì	1
930	´À±×¾Öºñ	1
931	´À±×¾Ö¹Ì	1
932	´À°Ë¸¶	1
933	³ë¶û±¹¹°	0
934	³ë¶õ±¹¹°	0
935	³Ê±×¾î¹Ì	1
936	³Ê±×¾Æºñ	1
937	²Ç±î	1
938	²ÃÅë	0
939	²Ã±õ	1
940	²Ã°©	1
941	±îÁø³â	0
942	±¸¸ÛÁú	1
943	íÈÞ	1
944	°ÔÁ¿	1
945	°ÔÁ½	1
946	°ÔÀÚ½Ä	1
947	°Ô´Æ	1
948	°Ô´¨	1
949	°ÌÅ»	0
950	°ÈÈÞ	1
951	°ÂÀâ	1
952	°¼½¿	1
953	°¼¼û	1
954	°³ÁÀ	1
955	°³Á¿	0
956	°³Á½	1
957	°³ »	1
958	°³ º	1
959	°³Á¥	1
960	°³Á£	1
961	°³½º·¹±â	1
962	°³´¨	1
963	°³´¢³ª	1
964	°³³Ê¸¶	1
965	°³²¿Ä¡	1
966	°³°¡ÅÏ	1
967	°¡¾Æ½¿	1
968	xÅÐ	1
969	x¼½x½ºxÇØx	1
970	sÇÏ°íe½Í´Ùx	1
971	sÇÏeÀÚx	1
972	sÆÄÆ®³Ê	1
973	d¶ö	1
974	°É·¡	1
975	Á£¹°	1
976	¼§³â	1
977	Àå¾Ö³â	1
978	Àü¶óµð¾ð	0
979	²¨Á®	0
980	Æ®Ã¢	1
981	´À±×	1
982	´À°¸	1
983	ÄÝgirl	1
984	°³»õ³¢	0
985	Àå²Ã¶ó	0
986	Â¯°ñ¶ó	1
987	Â¯²Ã¶ó	0
988	Â¯°Ô	1
989	Â¯°³	0
990	Â¯²²	1
991	Â¯±ú	1
992	ÀÚÁö	0
993	º¸Áö	0
994	º¸Á÷±º¿µ	1
995	´À±Ý	1
996	º¸¸ª³»	1
